"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"SK2","61300211121","74.549mm","10.541mm","73.279mm","10.541mm","73.279mm","10.541mm","T","360.00","61300211121"
"SK1","61300411121","74.93mm","44.577mm","78.74mm","44.577mm","78.74mm","44.577mm","T","180.00","61300411121"
"U2","ESP32-WROOM-32U","69.8988mm","23.3934mm","70.4088mm","23.3934mm","78.8188mm","32.2234mm","T","270.00","ESP32-WROOM-32U"
"R21","RESC0603(1608)_N","66.675mm","43.18mm","66.675mm","43.18mm","66.675mm","43.98mm","T","270.00","10K 1% 0603(1608)"
"R20","RESC0603(1608)_N","32.004mm","46.736mm","32.004mm","46.736mm","32.004mm","45.936mm","T","90.00","140R 1% 0603(1608)"
"R19","RESC0603(1608)_N","36.068mm","43.18mm","36.068mm","43.18mm","36.068mm","43.98mm","T","270.00","10K 1%"
"R13","RESC0603(1608)_M","53.213mm","38.735mm","53.213mm","38.735mm","53.213mm","39.635mm","T","270.00","560R 5% 0603(1608)"
"R12","RESC0603(1608)_N","58.674mm","19.7358mm","58.674mm","19.7358mm","58.674mm","20.5358mm","T","270.00","100R 5% 0603(1608)"
"R11","RESC0603(1608)_N","58.6486mm","28.4988mm","58.6486mm","28.4988mm","58.6486mm","29.2988mm","T","270.00","100R 5% 0603(1608)"
"LED3","VISH-TLMX1100_V","55.753mm","40.767mm","55.753mm","40.767mm","55.028mm","40.767mm","T","360.00","TLMS1100-GS08"
"LED2","VISH-TLMX1100_V","68.58mm","6.604mm","68.58mm","6.604mm","68.58mm","7.329mm","T","270.00","TLMS1100-GS08"
"LED1","VISH-TLMX1100_V","59.436mm","6.604mm","59.436mm","6.604mm","59.436mm","7.329mm","T","270.00","TLMS1100-GS08"
"D1","FP-GS2MF_R1_00001-MFG","13.716mm","42.164mm","13.716mm","42.164mm","15.866mm","42.164mm","T","180.00","GS2MF_R1_00001"
"C12","CAPC0603(1608)100_N","79.248mm","38.6842mm","79.248mm","38.6842mm","80.048mm","38.6842mm","T","180.00","CAP 100nF 16V 0603(1608)"
"U4","WSON-10_TI","29.6926mm","46.3042mm","29.6926mm","46.3042mm","28.6926mm","44.9292mm","T","90.00","LM27342SD/NOPB"
"U3","SOT223","49.7331mm","44.3992mm","49.7332mm","44.3992mm","52.832mm","42.0878mm","T","90.00","AZ1117H-3.3TRE1"
"R22","RESC0603(1608)_L","66.7004mm","40.1574mm","66.7004mm","40.1574mm","66.7004mm","40.8574mm","T","270.00","1K6 1% 0603(1608)"
"R17","RESC0603(1608)_N","34.544mm","46.736mm","34.544mm","46.736mm","34.544mm","47.536mm","T","270.00","560R 1% 0603(1608)"
"R14","RESC0603(1608)_N","14.224mm","36.576mm","14.224mm","36.576mm","13.424mm","36.576mm","T","360.00","Jumper 0603(1608)"
"R10","RESC0603(1608)_N","62.357mm","35.052mm","62.357mm","35.052mm","62.357mm","35.852mm","T","270.00","100R 5% 0603(1608)"
"R9","RESC0603(1608)_N","63.6016mm","35.0774mm","63.6016mm","35.0774mm","63.6016mm","35.8774mm","T","270.00","100R 5% 0603(1608)"
"R8","RESC0603(1608)_N","76.327mm","35.941mm","76.327mm","35.941mm","75.527mm","35.941mm","T","0.00","10K 5% 0603(1608)"
"R7","RESC0603(1608)_M","69.088mm","10.668mm","69.088mm","10.668mm","69.088mm","9.768mm","T","90.00","560R 5% 0603(1608)"
"R6","RESC0603(1608)_M","59.436mm","10.668mm","59.436mm","10.668mm","59.436mm","9.768mm","T","90.00","560R 5% 0603(1608)"
"D3","SOD-128_Toshiba","23.8252mm","42.2656mm","23.8252mm","42.2656mm","23.8252mm","44.4656mm","T","270.00","CMS06"
"C20","CAPC0603(1608)100_N","36.068mm","46.736mm","36.068mm","46.736mm","36.068mm","47.536mm","T","270.00","CAP 180nF 16V 0603(1608)"
"C19","CAPC1206(3216)190_N","36.576mm","37.084mm","36.576mm","37.084mm","36.576mm","35.584mm","T","90.00","CAP 22uF 16V 1206(3216)"
"C17","CAPC1206(3216)190_N","25.273mm","46.863mm","25.273mm","46.863mm","23.773mm","46.863mm","T","360.00","CAP 10uF 25V 1206(3216)"
"C16","CAPC0603(1608)100_N","29.3624mm","43.0784mm","29.3624mm","43.0784mm","28.5624mm","43.0784mm","T","360.00","CAP 100nF 50V 0603(1608)"
"C15","CAPC1210(3225)170_L","49.5808mm","39.2684mm","49.5808mm","39.2684mm","50.9808mm","39.2684mm","T","180.00","CAP 10uF 16V 1210(3225)"
